,Neighborhood,Rent,Latitude,Longitude
0,Outer Richmond,"2,795.00",37.7777,-122.4953
1,Outer Sunset,"2,450.00",37.7467,-122.4863
2,Lakeshore,"2,780.00",37.7233,-122.4887
3,Inner Richmond,"2,730.00",37.781,-122.4654
4,Inner Sunset,"2,885.00",37.7607,-122.46799999999999
5,West of Twin Peaks,"2,950.00",37.7406,-122.4589
6,Presidio Heights/Laurel Heights,"2,990.00",37.7866,-122.4519
7,Lone Mountain,"2,675.00",37.777,-122.4538
8,NOPA,"3,320.00",37.7757,-122.4425
9,Haight Ashbury,"3,050.00",37.7692,-122.4481
10,Ashbury Heights,"3,500.00",37.7653,-122.4453
11,The Castro,"3,540.00",37.7609,-122.435
12,Noe Valley,"3,300.00",37.7502,-122.4337
13,Glen Park,"2,650.00",37.7378,-122.4321
14,Outer Mission/Excelsior,"2,300.00",37.7157,-122.4458
15,Marina,"3,690.00",37.8037,-122.4368
16,Cow Hollow,"3,700.00",37.798,-122.4396
17,Pacific Heights,"3,480.00",37.7925,-122.4382
18,Lower Pacific Heights,"3,570.00",37.787,-122.4368
19,Western Addition,"3,250.00",37.7822,-122.4342
20,Lower Haight,"3,050.00",37.7721,-122.4321
21,Mission Dolores,"3,560.00",37.7596,-122.4269
22,Hayes Valley,"3,750.00",37.7759,-122.4245
23,North Beach,"3,010.00",37.8061,-122.4103
24,Russian Hill,"3,325.00",37.8011,-122.4196
25,Nob Hill,"3,300.00",37.793,-122.4161
26,Downtown,"3,215.00",37.7912,-122.4139
27,Tenderloin,"2,395.00",37.7847,-122.4145
28,Civic Center,"3,100.00",37.7816,-122.4156
29,SOMA,"3,850.00",37.7785,-122.4056
30,The Mission,"3,585.00",37.7599,-122.4148
31,Bernal Heights,"3,250.00",37.7389,-122.4152
32,Telegraph Hill,"3,600.00",37.8013,-122.4057
33,Financial District,"3,700.00",37.7946,-122.3999
34,South Beach,"3,800.00",37.7836,-122.3899
35,Protrero Hill,"3,580.00",37.7605,-122.4009
36,Mission Bay/Dogpatch,"3,690.00",37.7591,-122.3895
37,Bayview,"2,925.00",37.7304,-122.3844
